canal_section	surveyors	tree_number	species	number_of_trees	height_metres	diameter_centimetres	w3w_url	gmaps_url	condition	action	survey_limitation	photo_1	photo_2	photo_3	photo_4
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-001	Pine	1	20.0	68.0	"=HYPERLINK(""https://what3words.com/sedative.catch.yummy"",""sedative.catch.yummy"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77838%2C-2.35177"",""(51.77838, -2.35177)"")"	"

"	"
"	No				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-002	Sycamore	1	17.0	93.0	"=HYPERLINK(""https://what3words.com/stud.hobble.abstracts"",""stud.hobble.abstracts"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77838%2C-2.351682"",""(51.77838, -2.351682)"")"	"

"	"
"	No				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-003	Ash	1	13.0		"=HYPERLINK(""https://what3words.com/education.panel.start"",""education.panel.start"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.778299%2C-2.352031"",""(51.778299, -2.352031)"")"	"Class 1 - 100% to 75%
Lots of ivy in crown
Lots of ivy in the canopy. Leaning into the canal."	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-003-ash-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-004	Sycamore	1	10.0		"=HYPERLINK(""https://what3words.com/lime.hindered.receive"",""lime.hindered.receive"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.778191%2C-2.351987"",""(51.778191, -2.351987)"")"	"

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-005	Willow	1	11.0		"=HYPERLINK(""https://what3words.com/slides.envoy.hurls"",""slides.envoy.hurls"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.77811%2C-2.351944"",""(51.77811, -2.351944)"")"	"

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-006	Ash	1	12.0		"=HYPERLINK(""https://what3words.com/fewer.suckle.applauded"",""fewer.suckle.applauded"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777706%2C-2.35177"",""(51.777706, -2.35177)"")"	"Class 1 - 100% to 75%
Lots of ivy in crown
Large hole in trunk about three metres up"	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-006-ash-condition.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-007	Sycamore	1	8.0		"=HYPERLINK(""https://what3words.com/eyepieces.expensive.abstracts"",""eyepieces.expensive.abstracts"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777787%2C-2.35177"",""(51.777787, -2.35177)"")"	"

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-008	Sycamore	1	9.0		"=HYPERLINK(""https://what3words.com/fewer.suckle.applauded"",""fewer.suckle.applauded"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777706%2C-2.35177"",""(51.777706, -2.35177)"")"	"

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-009	Ash	1	7.0		"=HYPERLINK(""https://what3words.com/brighter.increases.keys"",""brighter.increases.keys"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777436%2C-2.351552"",""(51.777436, -2.351552)"")"	"Class 1 - 100% to 75%

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-010	Field Maple	1	7.0		"=HYPERLINK(""https://what3words.com/brighter.increases.keys"",""brighter.increases.keys"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777436%2C-2.351552"",""(51.777436, -2.351552)"")"	"

"	"
"	On other side of bank				
1 – Walk Bridge to Whitminster Lock	"12/10/2021
Chris Shaw,Peter Savage"	WAB-011	Ash	30	12.0		"=HYPERLINK(""https://what3words.com/winters.flop.pigtails"",""winters.flop.pigtails"")"	"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=51.777194%2C-2.351334"",""(51.777194, -2.351334)"")"	"Class 1 - 100% to 75%

"	"
"	On other side of bank	"=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""=HYPERLINK(""https://rawcdn.githack.com/connectedblue/tree-images/a9cf0a0064aedc95aceeee2332b7f40662cf5b7c//01/local/WAB-011-ash-additional_photo_1.jpg"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"",""Photo 1"")"			
